TreeNo,X,Y,TreeName,DBH_2017,Height_2017,BA_2017,Volume_2017,Quadrant_2017
184,419305.1,5851640.71,Copper beech,11.5,15.6,0.01,0.074,1
185,419302.3,5851642.49,Common pine,32.7,28.9,0.084,1.088,1
186,419303.29,5851640.04,Copper beech,9.3,13.6,0.007,0.037,1
187,419300.58,5851635.25,Copper beech,15.1,18,0.018,0.151,1
188,419303.31,5851634.35,Copper beech,7.9,11.9,0.005,0.016,1
189,419302.35,5851630.66,Copper beech,10,14.3,0.008,0.047,1
190,419301.8,5851638.81,Common pine,40,29.6,0.126,1.658,1
191,419298.32,5851641.01,Common pine,33.4,29,0.088,1.146,1
192,419290.86,5851640.44,Copper beech,7.7,11.7,0.005,0.013,1
193,419298.88,5851638.08,Copper beech,15.5,18.2,0.019,0.161,1
194,419300.42,5851636.77,Common pine,38.9,29.5,0.119,1.565,1
195,419300.87,5851633.46,Copper beech,16.4,18.7,0.021,0.188,1
196,419297.86,5851635.78,Common pine,29.3,28.5,0.067,0.856,1
197,419290.58,5851639.38,Copper beech,12.4,16.3,0.012,0.09,1
198,419295.81,5851636.81,Copper beech,11.9,15.9,0.011,0.08,1
199,419295.12,5851636.32,Copper beech,9.4,13.7,0.007,0.039,1
200,419293.33,5851635.87,Copper beech,15.2,18.1,0.018,0.153,1
201,419297.18,5851632.03,Copper beech,9.4,13.7,0.007,0.039,1
202,419295.23,5851631.2,Copper beech,9.9,14.2,0.008,0.042,1
203,419292.67,5851630.56,Copper beech,16.3,18.7,0.021,0.186,1
204,419292.46,5851632.15,Common pine,31.6,28.8,0.078,1.01,1
205,419289.46,5851634.5,Copper beech,10.4,14.7,0.008,0.055,1
206,419289.03,5851636.37,Common pine,34.1,29,0.091,1.186,1
207,419280.83,5851634.12,Copper beech,18.3,19.6,0.026,0.246,1
208,419286.72,5851633.13,Copper beech,14.7,17.8,0.017,0.142,1
209,419285.55,5851630.04,Copper beech,10.4,14.7,0.008,0.055,1
210,419288.29,585162.19,Copper beech,11.3,15.4,0.01,0.07,1
211,419280.91,5851623.97,Common pine,32.3,28.8,0.082,1.066,1
212,419290.06,5851626.76,Copper beech,18.8,19.8,0.028,0.26,1
213,419293.09,5851623.79,Copper beech,16.8,18.9,0.022,0.198,1
214,419293.05,5851627.17,Common pine,34.7,29.1,0.095,1.222,1
215,419293.72,5851627.98,Copper beech,15.2,18.1,0.018,0.153,1
216,419295.56,5851624.72,Copper beech,17.2,19.1,0.023,0.208,1
217,419296.11,5851625.78,Common pine,34.7,29.1,0.095,1.222,1
218,419200.97,5851629.46,Copper beech,17.7,19.3,0.025,0.222,1
219,419301.34,5851627.03,Copper beech,11.3,15.4,0.01,0.07,1
220,419302.77,5851627.48,Copper beech,15,18,0.018,0.144,1
221,419303.34,5851628.74,Common pine,38.6,29.4,0.117,1.544,1
222,419305.1,585162.96,Common pine,33.4,29,0.088,1.146,1
223,419304.44,5851633.29,Common pine,37.2,29.3,0.109,1.433,1
224,419308.38,5851630.63,Common pine,32.6,28.9,0.083,1.083,1
225,419309.59,5851629.97,Copper beech,12.6,16.5,0.012,0.094,1
226,419309.37,5851633.94,Copper beech,12.5,16.4,0.012,0.092,1
227,419313.74,5851632.4,Common pine,33.9,29,0.09,1.156,1
228,419311.09,5851634.54,Copper beech,10.9,15.1,0.009,0.059,1
229,419313.94,5851636.64,Common pine,39.3,29.5,0.121,1.613,1
230,419316.95,5851632.07,Copper beech,8.2,12.3,0.005,0.02,1
231,419317.3,5851634.81,Common pine,42.8,29.8,0.144,1.936,1
232,419321.83,5851637.93,Copper beech,9,13.2,0.006,0.03,1
233,419324.11,5851630.47,Copper beech,10,14.3,0.008,0.047,1
234,419324.48,5851638.87,Copper beech,15,18,0.018,0.144,1
235,419325.74,5851639.91,Common pine,36.8,29.3,0.106,1.388,1
236,419329.01,5851636.37,Copper beech,19.4,20,0.03,0.285,1
237,419300.33,5851636.7,Common pine,32.8,28.9,0.084,1.094,1
238,419330.52,5851633.67,Copper beech,13.1,16.8,0.013,0.108,1
239,419335.03,5851633,Common pine,32.8,28.9,0.084,1.094,1
240,419333.06,5851630.08,Common pine,34.7,29.1,0.095,1.222,1
241,419330.8,5851634.4,Common pine,32.1,28.8,0.081,1.055,1
242,419328.69,5851632.36,Common pine,27.5,28.2,0.059,0.736,1
243,419329.39,5851629.13,Copper beech,18.8,19.8,0.028,0.26,1
244,419328.34,5851629.59,Copper beech,8.5,12.7,0.006,0.025,1
245,419327.58,5851628.3,Copper beech,10.9,15.1,0.009,0.059,1
246,419327.08,5851630.55,Copper beech,15.7,18.4,0.019,0.165,1
247,419326.21,5851628.74,Common pine,38.9,29.5,0.119,1.565,1
248,419325.93,5851628.13,Copper beech,18.6,19.7,0.027,0.254,1
249,419320.46,5851633.54,Common birch,10,14.3,0.008,0.041,1
250,419324.02,5851633.16,Common pine,42.7,29.8,0.143,1.928,1
251,419320.22,5851629.73,Common pine,28.7,28.4,0.065,0.808,1
252,419320.82,5851600.27,Copper beech,16.4,18.7,0.021,0.188,1
253,419318.94,5851628.19,Copper beech,12,16,0.011,0.082,1
254,419315.99,5851629.61,Copper beech,19.1,19.9,0.029,0.276,1
255,419315.83,5851629.07,Common pine,30.4,28.6,0.073,0.929,1
256,419316.79,5851624.57,Common pine,27.1,28.1,0.058,0.718,1
257,419313.68,5851626.5,Copper beech,20.2,20.3,0.032,0.31,1
258,419310.73,585162.88,Common pine,32.7,28.9,0.084,1.088,1
259,419310.23,5851625.55,Copper beech,8.6,12.8,0.006,0.026,1
260,419309.47,5851624.67,Common pine,47.2,30,0.175,2.372,1
261,419307.68,5851624.43,Copper beech,12.6,16.5,0.012,0.094,1
262,419305.39,5851626.4,Copper beech,17.6,19.3,0.024,0.219,1
263,419305.28,5851626.41,Copper beech,15.9,18.5,0.02,0.17,1
264,419306.16,5851621.68,Copper beech,21.9,20.8,0.038,0.375,1
265,419302.66,5851621.08,Common pine,44.9,29.9,0.158,2.142,1
266,419297.82,5851600.21,Common pine,31.1,28.7,0.076,0.983,1
267,419302.89,5851624.29,Sessile oak,8.9,13.1,0.006,0.027,1
268,419296.96,5851618.02,Copper beech,15.4,18.2,0.019,0.158,1
269,419291.89,5851620.21,Common pine,41.4,29.7,0.135,1.808,1
270,419292.74,5851618.37,Copper beech,15.9,18.5,0.02,0.17,1
271,419290.56,5851616.27,Common pine,37.9,29.4,0.113,1.478,1
272,419273.64,5851661.66,Common pine,44.3,29.9,0.154,2.093,2
273,419275.99,585165.82,Common pine,36.3,29.2,0.103,1.357,2
274,419272.14,5851660.33,Copper beech,11.2,15.4,0.01,0.068,2
275,419270.13,5851660.09,Copper beech,12.8,16.6,0.013,0.097,2
276,419270.33,5851659.53,Copper beech,8.9,13.1,0.006,0.025,2
277,419271.8,5851657.69,Common pine,37,29.3,0.108,1.407,2
278,419268.95,5851656.28,Copper beech,25,21.7,0.049,0.502,2
279,419260.88,5851658.76,Copper beech,13.7,17.2,0.015,0.115,2
280,419261.32,5851657.5,Common pine,46,30,0.166,2.222,2
281,419261.16,5851656.62,Copper beech,11.5,15.6,0.01,0.074,2
282,419250.6,5851655.65,Common pine,37,29.3,0.108,1.407,2
283,419256,5851653.57,Copper beech,12.3,16.2,0.012,0.088,2
284,419253.68,5851651.03,Common pine,36.4,29.3,0.104,1.363,2
285,419251.01,5851651.91,Copper beech,18.7,19.7,0.027,0.257,2
286,419245.78,5851650.99,Common pine,37.6,29.4,0.111,1.459,2
287,419240.53,5851652.71,Copper beech,16.5,18.8,0.021,0.191,2
288,419239.7,5851649.59,Common pine,49.4,30.1,0.192,2.606,2
289,419236.81,5851640.89,Common pine,35.2,29.1,0.097,1.27,2
290,419240.11,5851645.65,Common pine,40.7,29.6,0.13,1.734,2
291,419241.76,5851644.66,Common spruce,24.9,22.3,0.049,0.542,2
292,419245.24,5851647.25,Common pine,48.2,30.1,0.182,2.479,2
293,419246.85,5851644,Common pine,34,29,0.091,1.179,2
294,419248.09,5851642.49,Common spruce,18.2,18.5,0.026,0.243,2
295,419248.07,5851642.52,Common pine,43.8,29.8,0.151,2.035,2
296,419251.5,5851640.53,Common spruce,16.1,16.9,0.02,0.179,2
297,419250.65,5851646.5,Common spruce,13.2,14.2,0.014,0.096,2
298,419251.74,5851646.75,Common spruce,20,19.7,0.031,0.313,2
299,419255.05,5851640.4,Common spruce,10.1,10.7,0.008,0.044,2
300,419257.88,5851648.64,Common pine,36.3,29.2,0.103,1.357,2
301,419260.41,5851649.63,Common spruce,22.1,20.9,0.038,0.415,2
302,419261.72,5851648.82,Common spruce,11.1,11.9,0.01,0.06,2
303,419264.44,5851650.59,Common pine,36.8,29.3,0.106,1.388,2
304,419266.41,5851647.55,Common spruce,25.3,22.5,0.05,0.567,2
305,419270.54,5851640.79,Copper beech,18.2,19.5,0.026,0.243,2
306,419271.5,5851651.48,Common pine,39.7,29.5,0.124,1.641,2
307,419276.39,5851655.71,Copper beech,19.5,20,0.03,0.255,2
308,419276.57,5851650.27,Copper beech,12.8,16.6,0.013,0.097,2
309,419277.59,5851650.78,Common pine,38.1,29.4,0.114,1.511,2
310,419279.26,5851648.48,Common pine,45.4,29.9,0.162,2.201,2
311,419279.06,5851600.47,Common spruce,11.4,12.3,0.01,0.057,2
312,419276.09,5851645.03,Common pine,46.1,30,0.167,2.278,2
313,419272.03,5851647.81,Common pine,34.6,29.1,0.094,1.216,2
314,419268.23,5851643.77,Common pine,40.4,29.6,0.128,1.712,2
315,419259.69,5851644.03,Common spruce,15.1,16,0.018,0.142,2
316,419259.09,5851640.22,Common pine,45.5,29.9,0.163,2.21,2
317,419257.5,5851643.34,Common spruce,17.3,17.8,0.024,0.222,2
318,419255.82,5851630.99,Common pine,41,29.6,0.132,1.748,2
319,419251.54,5851640.11,Common pine,42.2,29.7,0.14,1.889,2
320,419250.91,5851639.81,Common spruce,16,16.8,0.02,0.168,2
321,419240.59,5851637.04,Copper beech,9.3,13.6,0.007,0.037,2
322,419236.36,5851630.75,Common pine,50.6,30.2,0.201,2.739,2
323,419229.82,5851645.96,Common spruce,18,18.3,0.025,0.242,2
324,419230.43,5851641.79,Common spruce,17.5,17.9,0.024,0.229,2
325,419231.63,5851637.42,Common pine,41.9,29.7,0.138,1.846,2
326,419234.48,5851630.55,Common spruce,16.3,17,0.021,0.185,2
327,419233.42,5851633.84,Common pine,40.6,29.6,0.129,1.727,2
328,419235.7,5851625.02,Copper beech,15.2,18.1,0.018,0.153,2
329,419236.81,5851625.41,Copper beech,22.3,21,0.039,0.397,2
330,419237.65,5851621.09,Copper beech,14,17.4,0.015,0.123,2
331,419230.81,5851619.14,Common pine,40.9,29.6,0.131,1.749,2
332,419241.54,5851622.31,Copper beech,13.1,16.8,0.013,0.108,2
333,419239.58,5851626.87,Common pine,47.9,30.1,0.18,2.434,2
334,419240.46,5851628.38,Copper beech,13,16.7,0.013,0.1,2
335,419244.58,5851630.67,Copper beech,17.3,19.1,0.024,0.211,2
336,419245.31,5851630.32,Common pine,44.4,29.9,0.155,2.101,2
337,419245.74,5851630.89,Copper beech,10.7,14.9,0.009,0.06,2
338,419240.67,5851628.92,Copper beech,11.3,15.4,0.01,0.07,2
339,419248.58,5851626.94,Copper beech,18.9,19.8,0.028,0.263,2
340,419251.37,5851625.58,Copper beech,10.5,14.7,0.009,0.057,2
341,419250,5851628.92,Copper beech,17.1,19,0.023,0.206,2
342,419248.76,5851631.34,Common pine,31.1,28.7,0.076,0.983,2
343,419248.29,5851631.91,Copper beech,16.2,18.6,0.021,0.183,2
344,419250.29,5851632.47,Copper beech,24.1,21.5,0.046,0.472,2
345,419253.15,5851631.24,Copper beech,16.2,18.6,0.021,0.183,2
346,419253.9,5851633.35,Common pine,35.4,29.2,0.098,1.283,2
347,419255.59,5851634.43,Copper beech,10.4,14.7,0.008,0.055,2
348,419255.57,5851630.45,Copper beech,17.1,19,0.023,0.206,2
349,419256.37,5851630.11,Common pine,33.5,29,0.088,1.152,2
350,419259.11,5851630.67,Copper beech,11.7,15.8,0.011,0.077,2
351,419259.28,5851628.25,Copper beech,18.6,19.7,0.027,0.254,2
352,419261.11,5851633.62,Copper beech,13.1,16.8,0.013,0.108,2
353,419263.08,5851631.86,Copper beech,16.1,18.6,0.02,0.181,2
354,419264.1,5851634.17,Common pine,36.4,29.3,0.104,1.363,2
355,419267.17,5851631.09,Copper beech,13.3,16.9,0.014,0.112,2
356,419271.29,5851632.32,Common pine,32.9,28.9,0.085,1.099,2
357,419268.33,5851636.11,Copper beech,16,18.5,0.02,0.173,2
358,419267.41,5851637.84,Common pine,32.1,28.8,0.081,1.055,2
360,419270.82,5851630.72,Copper beech,9.1,13.3,0.007,0.034,2
363,419276.78,5851634.71,Copper beech,8.8,13,0.006,0.024,2
364,419270.8,5851630.44,Common pine,35.3,29.2,0.098,1.276,2
365,419270.79,5851638.08,Common pine,37.9,29.4,0.113,1.478,2
366,419277.22,5851639.12,Copper beech,9.1,13.3,0.007,0.034,2
367,419277.97,5851640.14,Copper beech,13.7,17.2,0.015,0.115,2
368,419279.97,5851635.77,Copper beech,12.9,16.7,0.013,0.099,2
369,419280.01,5851635.77,Copper beech,14,17.4,0.015,0.123,2
370,419281.47,5851638.53,Copper beech,9.1,13.3,0.007,0.034,2
371,419282.3,5851638.74,Copper beech,11,15.2,0.01,0.063,2
372,419282.08,5851636.02,Copper beech,9,13.2,0.006,0.03,2
373,419282.71,5851634.77,Common pine,34.5,29.1,0.093,1.21,2
374,419280.18,5851631.07,Copper beech,14.6,17.7,0.017,0.14,2
375,419280.25,5851628.26,Copper beech,14.5,17.7,0.017,0.138,2
376,419279.35,5851628.08,Copper beech,10.3,14.6,0.008,0.054,2
377,419274.17,5851628.79,Copper beech,14.4,17.6,0.016,0.135,2
378,419272.83,5851630.62,Copper beech,11.1,15.3,0.01,0.067,2
379,419200.71,5851630.24,Copper beech,16.2,18.6,0.021,0.183,2
380,419269.77,5851627.25,Copper beech,17.2,19.1,0.023,0.208,2
381,419270.82,5851624.9,Common pine,28.9,28.4,0.066,0.818,2
382,419267.29,5851628.64,Copper beech,8.8,13,0.006,0.024,2
383,419266.43,5851620.83,Copper beech,14.3,17.6,0.016,0.133,2
384,419265.74,5851627.97,Copper beech,10.4,14.7,0.008,0.055,2
385,419266.87,5851627.06,Common pine,41.3,29.7,0.134,1.8,2
386,419260.6,5851624.24,Common pine,33.5,29,0.088,1.152,2
387,419263.11,5851620.5,Copper beech,15.4,18.2,0.019,0.158,2
388,419262.67,5851624.11,Common pine,39.8,29.5,0.124,1.648,2
389,419261.45,5851627.36,Common pine,38.3,29.4,0.115,1.524,2
390,419259.24,5851625.43,Copper beech,11.2,15.4,0.01,0.068,2
391,419259.32,5851623.23,Copper beech,16,18.5,0.02,0.173,2
392,419255.8,5851624.67,Copper beech,25.1,21.7,0.049,0.521,2
393,419250.47,5851621.53,Copper beech,7.7,11.7,0.005,0.013,2
394,419252.29,5851621.67,Common pine,39.4,29.5,0.122,1.62,2
395,419251.72,5851621,Copper beech,19.6,20.1,0.03,0.251,2
396,419250.26,5851622.73,Copper beech,15.6,18.3,0.019,0.163,2
397,419248.86,5851622.14,Copper beech,10.1,14.4,0.008,0.051,2
398,419240.4,5851617.78,Copper beech,13.3,16.9,0.014,0.112,2
400,419240.54,5851619.82,Copper beech,14.6,17.7,0.017,0.14,2
401,419239.07,5851610.95,Copper beech,11.5,15.6,0.01,0.074,2
402,419239.27,5851614.64,Copper beech,11.3,15.4,0.01,0.07,2
403,419240.32,5851610.23,Copper beech,11.5,15.6,0.01,0.074,2
404,419240.94,5851610.59,Common pine,37.4,29.3,0.11,1.446,2
405,419242.83,5851610.52,Copper beech,15.8,18.4,0.02,0.168,2
406,419241.19,5851616.07,Common pine,40.8,29.6,0.131,1.741,2
407,419246.03,5851610.3,Common pine,36.2,29.2,0.103,1.35,2
408,419240.65,5851611.87,Copper beech,16.6,18.8,0.022,0.193,2
409,419245.6,5851614.48,Copper beech,13.9,17.3,0.015,0.119,2
410,419245.41,5851600.16,Common pine,34,29,0.091,1.179,2
411,419249.34,5851612.57,Common pine,34.8,29.1,0.095,1.228,2
412,419248.72,5851615.54,Copper beech,16.1,18.6,0.02,0.181,2
413,419248.79,5851617.64,Copper beech,13.9,17.3,0.015,0.119,2
414,419250.06,5851619.05,Common pine,43.3,29.8,0.147,1.994,2
415,419255.82,5851617.63,Copper beech,9.6,13.9,0.007,0.043,2
416,419256.77,5851617.84,Copper beech,21,20.6,0.035,0.335,2
417,419256.51,5851610.86,Common pine,36.2,29.2,0.103,1.35,2
418,419256.97,5851620.6,Copper beech,12.5,16.4,0.012,0.092,2
419,419261.31,5851616.66,Common pine,32.8,28.9,0.084,1.094,2
420,419267.84,5851617.7,Common pine,35.3,29.2,0.098,1.276,2
421,419271.03,5851610.97,Common pine,35.7,29.2,0.1,1.301,2
422,419270.66,5851622.99,Copper beech,25,21.7,0.049,0.502,2
423,419272.49,5851623.4,Copper beech,7.7,11.7,0.005,0.013,2
424,419275.05,5851624.25,Copper beech,12.5,16.4,0.012,0.092,2
425,419275.4,5851623.98,Common pine,36.6,29.3,0.105,1.376,2
426,419277.4,5851625.26,Copper beech,22.5,21,0.04,0.396,2
427,419270.88,5851623.49,Common pine,35,29.1,0.096,1.253,2
428,419283.79,5851624.77,Copper beech,18.5,19.6,0.027,0.251,2
429,419284.79,5851627.65,Copper beech,15.8,18.4,0.02,0.168,2
430,419285.86,5851625.46,Copper beech,11.5,15.6,0.01,0.074,2
431,419286.43,5851600.19,Copper beech,9.5,13.8,0.007,0.041,2
432,419287.56,5851615.08,Copper beech,19.1,19.9,0.029,0.276,2
433,419285.39,5851616.63,Copper beech,17.8,19.3,0.025,0.225,2
434,419283.52,5851615.56,Common pine,38.6,29.4,0.117,1.544,2
435,419282.09,5851620.39,Copper beech,14.9,17.9,0.017,0.146,2
436,419283.02,5851621.43,Common pine,37.5,29.4,0.11,1.452,2
437,419280.32,5851619.28,Copper beech,10,14.3,0.008,0.047,2
438,419279.59,5851616.92,Copper beech,13.3,16.9,0.014,0.112,2
439,419280.22,5851610.47,Copper beech,18.8,19.8,0.028,0.26,2
440,419278.58,5851614.01,Copper beech,7.9,11.9,0.005,0.016,2
441,419277.17,5851614.29,Copper beech,21.8,20.8,0.037,0.372,2
442,419276.36,5851615.67,Copper beech,8.1,12.2,0.005,0.019,2
443,419270.66,5851616.44,Common pine,30.9,28.7,0.075,0.955,2
444,419276.61,5851619.04,Common pine,33,28.9,0.086,1.092,2
445,419271.96,5851615.01,Common pine,42.5,29.7,0.142,1.912,2
446,419273.25,5851610.13,Copper beech,19.3,20,0.029,0.282,2
447,419269.54,5851616.11,Copper beech,10.2,14.5,0.008,0.052,2
448,419269.29,5851616.1,Copper beech,9,13.2,0.006,0.03,2
449,419266.74,5851612.86,Copper beech,9.6,13.9,0.007,0.043,2
450,419265.91,5851611.96,Common pine,31.1,28.7,0.076,0.983,2
451,419265.13,5851612.44,Copper beech,15,18,0.018,0.144,2
452,419267.46,5851608.04,Copper beech,16.5,18.8,0.021,0.191,2
453,419266.69,5851607.95,Copper beech,7.5,11.4,0.004,0.011,2
454,419264.69,5851600.7,Copper beech,9.6,13.9,0.007,0.043,2
455,419264.87,5851609.85,Copper beech,14.2,17.5,0.016,0.131,2
456,419264.66,5851614.74,Copper beech,7.2,11,0.004,0.011,2
457,419260.28,5851614.12,Copper beech,11.5,15.6,0.01,0.074,2
458,419262.67,5851612.03,Copper beech,17.9,19.4,0.025,0.228,2
459,419262.23,5851608.73,Copper beech,19.2,19.9,0.029,0.279,2
460,419200.61,5851606.57,Common pine,33.1,28.9,0.086,1.129,2
461,419261.06,5851610.95,Copper beech,13.8,17.3,0.015,0.117,2
462,419260.06,5851611.43,Common pine,31.4,28.7,0.077,0.999,2
463,419258.85,5851614.62,Common pine,32.1,28.8,0.081,1.055,2
464,419257.81,5851609.44,Copper beech,7.8,11.8,0.005,0.015,2
465,419257.59,5851607.66,Common pine,28.9,28.4,0.066,0.818,2
466,419255.96,5851604.82,Common pine,37.5,29.4,0.11,1.452,2
467,419253.28,5851608.17,Copper beech,10.1,14.4,0.008,0.051,2
468,419252.58,5851609.94,Copper beech,11.3,15.4,0.01,0.07,2
469,419250.16,5851613.14,Copper beech,7.5,11.4,0.004,0.011,2
470,419251.19,5851603.26,Common pine,40.4,29.6,0.128,1.712,2
471,419240.94,5851606.4,Common pine,41.5,29.7,0.135,1.815,2
472,419247.45,5851608.73,Copper beech,9.9,14.2,0.008,0.042,2
473,419240.84,5851609.73,Copper beech,10.8,15,0.009,0.057,2
474,419240.81,5851609.81,Copper beech,11,15.2,0.01,0.063,2
475,419240.44,5851605.78,Common pine,32.4,28.8,0.082,1.072,2
476,419247.03,5851602.53,Copper beech,15,18,0.018,0.144,2
477,419242.91,5851603.98,Common pine,33.7,29,0.089,1.163,2
478,419241.34,5851603.67,Copper beech,14.1,17.5,0.016,0.129,3
479,419245.08,5851599.25,Sessile oak,13.3,16.9,0.014,0.112,3
